,purpose,scale,level,timing,sn
466,NA,NA,NA,NA,Crossoptilon mantchuricum
467,NA,NA,NA,NA,Crossoptilon auritum
468,Food - human,NA,non-trivial,recent,Catreus wallichii
469,NA,NA,NA,NA,Lophura leucomelanos
470,NA,NA,NA,NA,Lophura nycthemera
471,Food - human,,non-trivial,recent,Lophura edwardsi
472,Food - human,,non-trivial,recent,Lophura edwardsi
473,"Pets/display animals, horticulture",international,non-trivial,recent,Lophura edwardsi
474,"Pets/display animals, horticulture",international,non-trivial,recent,Lophura edwardsi
475,"Pets/display animals, horticulture",international,non-trivial,recent,Lophura swinhoii
476,Food - human,,non-trivial,recent,Lophura inornata
477,"Pets/display animals, horticulture",international,non-trivial,recent,Lophura inornata
478,Food - human,NA,non-trivial,recent,Lophura erythrophthalma
479,NA,NA,NA,NA,Lophura pyronota
480,Food - human,NA,non-trivial,recent,Lophura ignita
481,Food - human,NA,non-trivial,recent,Lophura rufa
482,NA,NA,NA,NA,Lophura diardi
483,Food - human,,non-trivial,recent,Lophura bulweri
484,"Pets/display animals, horticulture",international,non-trivial,recent,Lophura bulweri
485,Food - human,,non-trivial,recent,Perdix perdix
486,"Pets/display animals, horticulture",international,non-trivial,recent,Perdix perdix
487,Sport hunting/specimen collecting,,non-trivial,recent,Perdix perdix
488,NA,NA,NA,NA,Perdix dauurica
489,NA,NA,NA,NA,Perdix hodgsoniae
490,Food - human,,non-trivial,recent,Meleagris gallopavo
491,"Pets/display animals, horticulture",international,non-trivial,recent,Meleagris gallopavo
492,Sport hunting/specimen collecting,,non-trivial,recent,Meleagris gallopavo
493,Food - human,,non-trivial,recent,Meleagris ocellata
494,"Pets/display animals, horticulture",international,non-trivial,recent,Meleagris ocellata
495,Sport hunting/specimen collecting,,non-trivial,recent,Meleagris ocellata
496,Food - human,,non-trivial,recent,Bonasa umbellus
497,"Pets/display animals, horticulture",international,non-trivial,recent,Bonasa umbellus
498,NA,NA,NA,NA,Tetrastes bonasia
499,Food - human,NA,non-trivial,recent,Tetrastes sewerzowi
500,NA,NA,NA,NA,Lagopus lagopus
501,Food - human,,non-trivial,recent,Lagopus muta
502,"Pets/display animals, horticulture",international,non-trivial,recent,Lagopus muta
503,Sport hunting/specimen collecting,,non-trivial,recent,Lagopus muta
504,Food - human,NA,non-trivial,recent,Lagopus leucura
505,Food - human,,non-trivial,recent,Dendragapus obscurus
506,"Pets/display animals, horticulture",international,non-trivial,recent,Dendragapus obscurus
507,Sport hunting/specimen collecting,,non-trivial,recent,Dendragapus obscurus
508,NA,NA,NA,NA,Dendragapus fuliginosus
509,Food - human,NA,non-trivial,recent,Falcipennis falcipennis
510,Food - human,,non-trivial,recent,Canachites canadensis
511,"Pets/display animals, horticulture",international,non-trivial,recent,Canachites canadensis
512,Food - human,,non-trivial,recent,Canachites franklinii
513,"Pets/display animals, horticulture",international,non-trivial,recent,Canachites franklinii
514,NA,NA,NA,NA,Tetrao urogallus
515,NA,NA,NA,NA,Tetrao urogalloides
516,Food - human,,non-trivial,recent,Lyrurus tetrix
517,"Pets/display animals, horticulture",international,non-trivial,recent,Lyrurus tetrix
518,Sport hunting/specimen collecting,,non-trivial,recent,Lyrurus tetrix
519,Food - human,NA,non-trivial,recent,Lyrurus mlokosiewiczi
520,Sport hunting/specimen collecting,NA,non-trivial,recent,Lyrurus mlokosiewiczi
521,NA,NA,NA,NA,Centrocercus urophasianus
522,Food - human,NA,non-trivial,recent,Centrocercus minimus
523,Sport hunting/specimen collecting,NA,non-trivial,recent,Centrocercus minimus
524,Food - human,,non-trivial,recent,Tympanuchus phasianellus
525,"Pets/display animals, horticulture",international,non-trivial,recent,Tympanuchus phasianellus
526,Food - human,,non-trivial,recent,Tympanuchus cupido
527,"Pets/display animals, horticulture",international,non-trivial,recent,Tympanuchus cupido
528,Sport hunting/specimen collecting,,non-trivial,recent,Tympanuchus cupido
529,Food - human,NA,non-trivial,recent,Tympanuchus pallidicinctus
530,Sport hunting/specimen collecting,NA,non-trivial,recent,Tympanuchus pallidicinctus
531,NA,NA,NA,NA,Anhima cornuta
532,Food - human,NA,non-trivial,recent,Chauna chavaria
533,"Pets/display animals, horticulture",NA,non-trivial,recent,Chauna chavaria
534,NA,NA,NA,NA,Chauna torquata
535,NA,NA,NA,NA,Anseranas semipalmata
536,NA,NA,NA,NA,Dendrocygna viduata
537,Food - human,,non-trivial,recent,Dendrocygna autumnalis
538,"Pets/display animals, horticulture",international,non-trivial,recent,Dendrocygna autumnalis
539,"Pets/display animals, horticulture",international,non-trivial,recent,Dendrocygna guttata
540,Food - human,,non-trivial,recent,Dendrocygna arborea
541,"Pets/display animals, horticulture",international,non-trivial,recent,Dendrocygna arborea
542,Sport hunting/specimen collecting,,non-trivial,recent,Dendrocygna arborea
543,NA,NA,NA,NA,Dendrocygna bicolor
544,"Pets/display animals, horticulture",international,non-trivial,recent,Dendrocygna eytoni
545,Food - human,,non-trivial,recent,Dendrocygna arcuata
546,"Pets/display animals, horticulture",international,non-trivial,recent,Dendrocygna arcuata
547,NA,NA,NA,NA,Dendrocygna javanica
548,NA,NA,NA,NA,Thalassornis leuconotus
549,NA,NA,NA,NA,Heteronetta atricapilla
550,Food - human,NA,non-trivial,recent,Nomonyx dominicus
551,Sport hunting/specimen collecting,NA,non-trivial,recent,Nomonyx dominicus
552,Food - human,,non-trivial,recent,Oxyura jamaicensis
553,Food - human,,non-trivial,recent,Oxyura jamaicensis
554,"Pets/display animals, horticulture",international,non-trivial,recent,Oxyura jamaicensis
555,"Pets/display animals, horticulture",international,non-trivial,recent,Oxyura jamaicensis
556,Food - human,,non-trivial,recent,Oxyura ferruginea
557,"Pets/display animals, horticulture",international,non-trivial,recent,Oxyura ferruginea
558,Food - human,,non-trivial,recent,Oxyura vittata
559,"Pets/display animals, horticulture",international,non-trivial,recent,Oxyura vittata
560,NA,NA,NA,NA,Oxyura australis
561,Food - human,,non-trivial,recent,Oxyura maccoa
562,"Pets/display animals, horticulture",international,non-trivial,recent,Oxyura maccoa
563,Food - human,,non-trivial,recent,Oxyura leucocephala
564,"Pets/display animals, horticulture",international,non-trivial,recent,Oxyura leucocephala
565,Sport hunting/specimen collecting,,non-trivial,recent,Oxyura leucocephala
566,NA,NA,NA,NA,Biziura lobata
567,NA,NA,NA,NA,Malacorhynchus membranaceus
568,NA,NA,NA,NA,Stictonetta naevosa
569,"Pets/display animals, horticulture",international,non-trivial,recent,Cereopsis novaehollandiae
570,NA,NA,NA,NA,Coscoroba coscoroba
571,NA,NA,NA,NA,Cygnus melancoryphus
572,Food - human,,non-trivial,recent,Cygnus atratus
573,"Pets/display animals, horticulture",international,non-trivial,recent,Cygnus atratus
574,Sport hunting/specimen collecting,,non-trivial,recent,Cygnus atratus
575,NA,NA,NA,NA,Cygnus olor
576,"Handicrafts, jewellery, etc.",,non-trivial,recent,Cygnus buccinator
577,"Pets/display animals, horticulture",international,non-trivial,recent,Cygnus buccinator
578,NA,NA,NA,NA,Cygnus cygnus
579,Food - human,,non-trivial,recent,Cygnus columbianus
580,"Pets/display animals, horticulture",international,non-trivial,recent,Cygnus columbianus
581,Sport hunting/specimen collecting,,non-trivial,recent,Cygnus columbianus
582,Food - human,,non-trivial,recent,Branta bernicla
583,"Pets/display animals, horticulture",international,non-trivial,recent,Branta bernicla
584,Sport hunting/specimen collecting,,non-trivial,recent,Branta bernicla
585,Food - human,,non-trivial,recent,Branta leucopsis
586,Other household goods,,non-trivial,recent,Branta leucopsis
587,"Pets/display animals, horticulture",international,non-trivial,recent,Branta leucopsis
588,Food - human,NA,non-trivial,recent,Branta ruficollis
589,"Pets/display animals, horticulture",NA,non-trivial,recent,Branta ruficollis
590,Sport hunting/specimen collecting,NA,non-trivial,recent,Branta ruficollis
591,"Pets/display animals, horticulture",international,non-trivial,recent,Branta hutchinsii
592,Sport hunting/specimen collecting,,non-trivial,recent,Branta hutchinsii
593,Food - human,,non-trivial,recent,Branta canadensis
594,"Pets/display animals, horticulture",international,non-trivial,recent,Branta canadensis
595,Sport hunting/specimen collecting,,non-trivial,recent,Branta canadensis
596,Food - human,,non-trivial,recent,Branta sandvicensis
597,"Pets/display animals, horticulture",international,non-trivial,recent,Branta sandvicensis
598,Food - human,,non-trivial,recent,Anser canagicus
599,Sport hunting/specimen collecting,international,non-trivial,recent,Anser canagicus
600,"Pets/display animals, horticulture",international,non-trivial,recent,Anser caerulescens
601,Sport hunting/specimen collecting,,non-trivial,recent,Anser caerulescens
602,"Pets/display animals, horticulture",international,non-trivial,recent,Anser rossii
603,Sport hunting/specimen collecting,,non-trivial,recent,Anser rossii
604,Food - human,NA,non-trivial,recent,Anser indicus
605,"Pets/display animals, horticulture",NA,non-trivial,recent,Anser indicus
606,Food - human,NA,non-trivial,recent,Anser anser
607,"Pets/display animals, horticulture",NA,non-trivial,recent,Anser anser
608,Sport hunting/specimen collecting,NA,non-trivial,recent,Anser anser
609,Food - human,NA,non-trivial,recent,Anser cygnoid
610,Food - human,,non-trivial,recent,Anser fabalis
611,Food - human,,non-trivial,recent,Anser fabalis
612,"Pets/display animals, horticulture",international,non-trivial,recent,Anser fabalis
613,"Pets/display animals, horticulture",international,non-trivial,recent,Anser fabalis
614,Sport hunting/specimen collecting,,non-trivial,recent,Anser fabalis
615,Sport hunting/specimen collecting,,non-trivial,recent,Anser fabalis
616,Food - human,,non-trivial,recent,Anser brachyrhynchus
617,"Pets/display animals, horticulture",international,non-trivial,recent,Anser brachyrhynchus
618,Sport hunting/specimen collecting,,non-trivial,recent,Anser brachyrhynchus
619,Food - human,NA,non-trivial,recent,Anser albifrons
620,Sport hunting/specimen collecting,NA,non-trivial,recent,Anser albifrons
621,Food - human,NA,non-trivial,recent,Anser erythropus
622,"Pets/display animals, horticulture",NA,non-trivial,recent,Anser erythropus
623,Sport hunting/specimen collecting,NA,non-trivial,recent,Anser erythropus
624,Food - human,,non-trivial,recent,Clangula hyemalis
625,"Pets/display animals, horticulture",international,non-trivial,recent,Clangula hyemalis
626,Sport hunting/specimen collecting,,non-trivial,recent,Clangula hyemalis
627,Food - human,,non-trivial,recent,Somateria fischeri
628,"Pets/display animals, horticulture",international,non-trivial,recent,Somateria fischeri
629,Food - human,,non-trivial,recent,Somateria spectabilis
630,"Pets/display animals, horticulture",international,non-trivial,recent,Somateria spectabilis
631,"Pets/display animals, horticulture",international,non-trivial,recent,Somateria mollissima
632,"Pets/display animals, horticulture",international,non-trivial,recent,Somateria mollissima
633,Sport hunting/specimen collecting,,non-trivial,recent,Somateria mollissima
634,Sport hunting/specimen collecting,,non-trivial,recent,Somateria mollissima
635,Food - human,,non-trivial,recent,Polysticta stelleri
636,Food - human,,non-trivial,recent,Polysticta stelleri
637,"Pets/display animals, horticulture",international,non-trivial,recent,Polysticta stelleri
638,"Pets/display animals, horticulture",international,non-trivial,recent,Polysticta stelleri
639,Sport hunting/specimen collecting,,non-trivial,recent,Polysticta stelleri
640,Sport hunting/specimen collecting,,non-trivial,recent,Polysticta stelleri
641,Food - human,,non-trivial,recent,Melanitta perspicillata
642,"Pets/display animals, horticulture",international,non-trivial,recent,Melanitta perspicillata
643,"Pets/display animals, horticulture",international,non-trivial,recent,Melanitta fusca
644,Sport hunting/specimen collecting,,non-trivial,recent,Melanitta fusca
645,"Pets/display animals, horticulture",international,non-trivial,recent,Melanitta stejnegeri
646,Sport hunting/specimen collecting,,non-trivial,recent,Melanitta stejnegeri
647,"Pets/display animals, horticulture",international,non-trivial,recent,Melanitta deglandi
648,Sport hunting/specimen collecting,,non-trivial,recent,Melanitta deglandi
649,"Pets/display animals, horticulture",international,non-trivial,recent,Melanitta nigra
650,Sport hunting/specimen collecting,,non-trivial,recent,Melanitta nigra
651,"Pets/display animals, horticulture",international,non-trivial,recent,Melanitta americana
652,Sport hunting/specimen collecting,,non-trivial,recent,Melanitta americana
653,Sport hunting/specimen collecting,NA,non-trivial,recent,Bucephala albeola
654,Food - human,,non-trivial,recent,Bucephala clangula
655,"Pets/display animals, horticulture",international,non-trivial,recent,Bucephala clangula
656,Sport hunting/specimen collecting,,non-trivial,recent,Bucephala clangula
657,Food - human,,non-trivial,recent,Bucephala islandica
658,"Pets/display animals, horticulture",international,non-trivial,recent,Bucephala islandica
659,Food - human,,non-trivial,recent,Mergellus albellus
660,"Pets/display animals, horticulture",international,non-trivial,recent,Mergellus albellus
661,"Pets/display animals, horticulture",international,non-trivial,recent,Lophodytes cucullatus
662,Sport hunting/specimen collecting,,non-trivial,recent,Lophodytes cucullatus
663,Food - human,,non-trivial,recent,Mergus merganser
664,"Pets/display animals, horticulture",international,non-trivial,recent,Mergus merganser
665,Sport hunting/specimen collecting,,non-trivial,recent,Mergus merganser
666,Food - human,NA,non-trivial,recent,Mergus squamatus
667,Sport hunting/specimen collecting,NA,non-trivial,recent,Mergus squamatus
668,Food - human,,non-trivial,recent,Mergus serrator
669,"Pets/display animals, horticulture",international,non-trivial,recent,Mergus serrator
670,Sport hunting/specimen collecting,,non-trivial,recent,Mergus serrator
671,Sport hunting/specimen collecting,NA,non-trivial,recent,Mergus octosetaceus
672,"Pets/display animals, horticulture",international,non-trivial,recent,Histrionicus histrionicus
673,"Pets/display animals, horticulture",international,non-trivial,recent,Histrionicus histrionicus
674,NA,NA,NA,NA,Neochen jubata
675,NA,NA,NA,NA,Chloephaga melanoptera
676,NA,NA,NA,NA,Chloephaga picta
677,NA,NA,NA,NA,Chloephaga hybrida
678,NA,NA,NA,NA,Chloephaga poliocephala
679,NA,NA,NA,NA,Chloephaga rubidiceps
680,NA,NA,NA,NA,Radjah radjah
681,Food - human,,non-trivial,recent,Alopochen aegyptiaca
682,"Pets/display animals, horticulture",international,non-trivial,recent,Alopochen aegyptiaca
683,Sport hunting/specimen collecting,,non-trivial,recent,Alopochen aegyptiaca
684,Food - human,NA,non-trivial,recent,Tadorna tadorna
685,"Pets/display animals, horticulture",NA,non-trivial,recent,Tadorna tadorna
686,Sport hunting/specimen collecting,NA,non-trivial,recent,Tadorna tadorna
687,Food - human,,non-trivial,recent,Tadorna ferruginea
688,"Pets/display animals, horticulture",international,non-trivial,recent,Tadorna ferruginea
689,Sport hunting/specimen collecting,,non-trivial,recent,Tadorna ferruginea
690,NA,NA,NA,NA,Tadorna cana
691,NA,NA,NA,NA,Tadorna tadornoides
692,NA,NA,NA,NA,Tadorna variegata
693,Food - human,NA,non-trivial,recent,Tadorna cristata
694,"Pets/display animals, horticulture",NA,non-trivial,recent,Tadorna cristata
695,NA,NA,NA,NA,Plectropterus gambensis
696,Food - human,,non-trivial,recent,Cairina moschata
697,"Pets/display animals, horticulture",international,non-trivial,recent,Cairina moschata
698,Food - human,NA,non-trivial,recent,Sarkidiornis sylvicola
699,"Pets/display animals, horticulture",NA,non-trivial,recent,Sarkidiornis sylvicola
700,Food - human,,non-trivial,recent,Sarkidiornis melanotos
701,"Pets/display animals, horticulture",international,non-trivial,recent,Sarkidiornis melanotos
702,NA,NA,NA,NA,Nettapus auritus
703,NA,NA,NA,NA,Nettapus coromandelianus
704,NA,NA,NA,NA,Nettapus pulchellus
705,Food - human,,non-trivial,recent,Callonetta leucophrys
706,"Pets/display animals, horticulture",international,non-trivial,recent,Callonetta leucophrys
707,"Pets/display animals, horticulture",international,non-trivial,recent,Aix sponsa
708,Sport hunting/specimen collecting,,non-trivial,recent,Aix sponsa
709,Food - human,NA,non-trivial,recent,Aix galericulata
710,"Pets/display animals, horticulture",NA,non-trivial,recent,Aix galericulata
711,NA,NA,NA,NA,Chenonetta jubata
712,NA,NA,NA,NA,Hymenolaimus malacorhynchos
713,NA,NA,NA,NA,Merganetta armata
714,NA,NA,NA,NA,Pteronetta hartlaubii
715,Food - human,NA,non-trivial,recent,Cyanochen cyanoptera
