,purpose,scale,level,timing,sn
6474,NA,NA,NA,NA,Mionectes oleagineus
6475,NA,NA,NA,NA,Mionectes macconnelli
6476,NA,NA,NA,NA,Mionectes roraimae
6477,NA,NA,NA,NA,Mionectes rufiventris
6478,NA,NA,NA,NA,Leptopogon amaurocephalus
6479,NA,NA,NA,NA,Leptopogon superciliaris
6480,NA,NA,NA,NA,Leptopogon albidiventer
6481,NA,NA,NA,NA,Leptopogon rufipectus
6482,NA,NA,NA,NA,Leptopogon taczanowskii
6483,NA,NA,NA,NA,Taeniotriccus andrei
6484,NA,NA,NA,NA,Cnipodectes subbrunneus
6485,NA,NA,NA,NA,Cnipodectes superrufus
6486,NA,NA,NA,NA,Rhynchocyclus brevirostris
6487,NA,NA,NA,NA,Rhynchocyclus aequinoctialis
6488,NA,NA,NA,NA,Rhynchocyclus olivaceus
6489,NA,NA,NA,NA,Rhynchocyclus pacificus
6490,NA,NA,NA,NA,Rhynchocyclus fulvipectus
6491,NA,NA,NA,NA,Tolmomyias sulphurescens
6492,NA,NA,NA,NA,Tolmomyias traylori
6493,NA,NA,NA,NA,Tolmomyias assimilis
6494,NA,NA,NA,NA,Tolmomyias flavotectus
6495,NA,NA,NA,NA,Tolmomyias poliocephalus
6496,NA,NA,NA,NA,Tolmomyias viridiceps
6497,NA,NA,NA,NA,Tolmomyias flaviventris
6498,NA,NA,NA,NA,Myiornis auricularis
6499,NA,NA,NA,NA,Myiornis albiventris
6500,NA,NA,NA,NA,Myiornis atricapillus
6501,NA,NA,NA,NA,Myiornis ecaudatus
6502,NA,NA,NA,NA,Oncostoma cinereigulare
6503,NA,NA,NA,NA,Oncostoma olivaceum
6504,NA,NA,NA,NA,Lophotriccus pileatus
6505,NA,NA,NA,NA,Lophotriccus vitiosus
6506,NA,NA,NA,NA,Lophotriccus eulophotes
6507,NA,NA,NA,NA,Lophotriccus galeatus
6508,NA,NA,NA,NA,Atalotriccus pilaris
6509,NA,NA,NA,NA,Hemitriccus minor
6510,NA,NA,NA,NA,Hemitriccus cohnhafti
6511,NA,NA,NA,NA,Hemitriccus spodiops
6512,NA,NA,NA,NA,Hemitriccus flammulatus
6513,NA,NA,NA,NA,Hemitriccus diops
6514,NA,NA,NA,NA,Hemitriccus obsoletus
6515,NA,NA,NA,NA,Hemitriccus josephinae
6516,NA,NA,NA,NA,Hemitriccus zosterops
6517,NA,NA,NA,NA,Hemitriccus griseipectus
6518,NA,NA,NA,NA,Hemitriccus orbitatus
6519,NA,NA,NA,NA,Hemitriccus iohannis
6520,NA,NA,NA,NA,Hemitriccus striaticollis
6521,NA,NA,NA,NA,Hemitriccus nidipendulus
6522,NA,NA,NA,NA,Hemitriccus margaritaceiventer
6523,NA,NA,NA,NA,Hemitriccus inornatus
6524,NA,NA,NA,NA,Hemitriccus minimus
6525,NA,NA,NA,NA,Hemitriccus granadensis
6526,NA,NA,NA,NA,Hemitriccus cinnamomeipectus
6527,NA,NA,NA,NA,Hemitriccus mirandae
6528,NA,NA,NA,NA,Hemitriccus kaempferi
6529,NA,NA,NA,NA,Hemitriccus rufigularis
6530,NA,NA,NA,NA,Hemitriccus furcatus
6531,NA,NA,NA,NA,Poecilotriccus ruficeps
6532,NA,NA,NA,NA,Poecilotriccus luluae
6533,NA,NA,NA,NA,Poecilotriccus albifacies
6534,NA,NA,NA,NA,Poecilotriccus capitalis
